                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
162,0.4806,0.25097,0.90868,0.95429,0.92927,0.96727,0.76179,0.9361,0.43986,1.4339,0.00208,0.00208,0.00208
163,0.48609,0.25047,0.91285,0.95425,0.92842,0.96907,0.76518,0.93357,0.43809,1.4321,0.0020305,0.0020305,0.0020305
164,0.48049,0.24761,0.91081,0.93778,0.94155,0.96939,0.7626,0.92925,0.43253,1.4392,0.001981,0.001981,0.001981
165,0.47224,0.24728,0.906,0.94915,0.93154,0.96782,0.76332,0.93059,0.43711,1.4381,0.0019315,0.0019315,0.0019315
166,0.46952,0.24462,0.90401,0.95235,0.93165,0.96892,0.76489,0.92924,0.4295,1.4423,0.001882,0.001882,0.001882
167,0.46824,0.24627,0.90121,0.95694,0.92446,0.96787,0.76423,0.92328,0.43192,1.4378,0.0018325,0.0018325,0.0018325
168,0.46943,0.24517,0.89905,0.94987,0.92857,0.96627,0.76488,0.92242,0.4349,1.4439,0.001783,0.001783,0.001783
169,0.45928,0.24337,0.89829,0.94647,0.93165,0.96963,0.76619,0.92074,0.43424,1.445,0.0017335,0.0017335,0.0017335
170,0.45711,0.24083,0.89466,0.9466,0.93258,0.96769,0.7648,0.91973,0.43221,1.4412,0.001684,0.001684,0.001684
171,0.46067,0.24274,0.89851,0.95219,0.92446,0.96706,0.7647,0.92118,0.43249,1.4441,0.0016345,0.0016345,0.0016345
172,0.45353,0.24129,0.89609,0.95781,0.91876,0.97063,0.7694,0.91803,0.42824,1.4377,0.001585,0.001585,0.001585
173,0.45573,0.23936,0.89412,0.94256,0.93698,0.96706,0.77,0.91635,0.42576,1.4369,0.0015355,0.0015355,0.0015355
174,0.44859,0.24099,0.89254,0.9555,0.92806,0.96624,0.76771,0.91601,0.42964,1.4447,0.001486,0.001486,0.001486
175,0.437,0.23483,0.88707,0.95445,0.92986,0.96608,0.76389,0.92075,0.43089,1.4527,0.0014365,0.0014365,0.0014365
176,0.43944,0.23592,0.891,0.9585,0.92491,0.96785,0.76688,0.9183,0.43136,1.4567,0.001387,0.001387,0.001387
177,0.43559,0.23393,0.89113,0.95332,0.92986,0.96844,0.76728,0.92105,0.43018,1.4587,0.0013375,0.0013375,0.0013375
178,0.43494,0.23239,0.89193,0.94886,0.93433,0.96799,0.7688,0.91258,0.42755,1.451,0.001288,0.001288,0.001288
179,0.43443,0.2319,0.88742,0.95034,0.92925,0.96838,0.76625,0.91518,0.42814,1.4598,0.0012385,0.0012385,0.0012385
180,0.43276,0.23297,0.88922,0.95052,0.93287,0.96992,0.76805,0.91056,0.42612,1.4543,0.001189,0.001189,0.001189
181,0.42525,0.22615,0.88416,0.94971,0.93345,0.97038,0.768,0.90975,0.42515,1.4576,0.0011395,0.0011395,0.0011395
182,0.42956,0.23163,0.89069,0.95187,0.9338,0.97121,0.77085,0.90936,0.43032,1.4536,0.00109,0.00109,0.00109
183,0.41799,0.22588,0.88252,0.9487,0.93125,0.96731,0.77159,0.91008,0.43504,1.455,0.0010405,0.0010405,0.0010405
