                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
111,0.87856,0.42148,1.0772,0.93961,0.3954,1.095,0.93089,0.91232,0.96701,0.66591,1.0775,0.46894,1.3105,1.1103,0.44191,1.33,0.00092627,0.00092627,0.00092627
112,0.8808,0.42366,1.085,0.94148,0.40037,1.1061,0.93142,0.92819,0.9695,0.6669,1.0829,0.46301,1.3081,1.1166,0.4275,1.3289,0.00091642,0.00091642,0.00091642
113,0.88173,0.42707,1.0887,0.94232,0.40694,1.1097,0.92399,0.92536,0.96994,0.67019,1.0804,0.46607,1.3066,1.1056,0.43663,1.3239,0.00090657,0.00090657,0.00090657
114,0.87431,0.41758,1.0777,0.9326,0.38954,1.0964,0.94164,0.92716,0.97118,0.67243,1.0714,0.45819,1.3031,1.1009,0.42345,1.3183,0.00089672,0.00089672,0.00089672
115,0.85879,0.41663,1.0809,0.91512,0.39572,1.1001,0.92664,0.92131,0.9713,0.67258,1.0775,0.46568,1.3006,1.1059,0.43011,1.3118,0.00088687,0.00088687,0.00088687
116,0.86681,0.41717,1.0772,0.92656,0.39352,1.0948,0.90861,0.93433,0.96953,0.66999,1.0741,0.45958,1.3063,1.1078,0.42777,1.3202,0.00087701,0.00087701,0.00087701
117,0.85221,0.40955,1.0746,0.90693,0.38336,1.0895,0.92056,0.93272,0.96821,0.67728,1.0573,0.45534,1.29,1.0854,0.43536,1.3038,0.00086716,0.00086716,0.00086716
118,0.85512,0.41138,1.0718,0.91607,0.3877,1.0892,0.9335,0.92086,0.9703,0.67814,1.0645,0.46021,1.2954,1.0891,0.43286,1.3105,0.00085731,0.00085731,0.00085731
119,0.83247,0.40391,1.0616,0.88741,0.38273,1.0804,0.92931,0.92801,0.9713,0.67618,1.0642,0.45682,1.3008,1.0953,0.42551,1.315,0.00084746,0.00084746,0.00084746
120,0.85338,0.4087,1.0658,0.91054,0.38266,1.0837,0.93703,0.92446,0.97052,0.67567,1.0601,0.45225,1.2961,1.0909,0.4203,1.3136,0.00083761,0.00083761,0.00083761
121,0.83968,0.4064,1.0633,0.89847,0.3816,1.0808,0.93058,0.92626,0.96765,0.68078,1.053,0.4534,1.2975,1.0786,0.42364,1.311,0.00082776,0.00082776,0.00082776
