                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
67,1.401,0.72535,1.3359,1.4633,0.73341,1.3571,0.86269,0.84263,0.92204,0.55326,1.3499,0.69073,1.358,1.3771,0.65537,1.3761,0.0013597,0.0013597,0.0013597
68,1.3932,0.72249,1.3209,1.4592,0.73271,1.3369,0.86134,0.84532,0.91904,0.5467,1.3537,0.70177,1.3684,1.3888,0.65617,1.3875,0.0013499,0.0013499,0.0013499
69,1.3779,0.71887,1.3186,1.4292,0.72596,1.3307,0.86753,0.85689,0.92702,0.55835,1.3365,0.67645,1.3483,1.3677,0.63261,1.3632,0.00134,0.00134,0.00134
70,1.3815,0.71115,1.3149,1.448,0.73216,1.3343,0.86682,0.84622,0.9255,0.55579,1.3312,0.67675,1.3369,1.3727,0.63697,1.3681,0.0013301,0.0013301,0.0013301
71,1.3811,0.72118,1.3225,1.4472,0.72796,1.3438,0.86288,0.85166,0.9282,0.55832,1.3496,0.67168,1.3492,1.3816,0.61004,1.3679,0.0013203,0.0013203,0.0013203
72,1.3806,0.71545,1.3266,1.4421,0.72035,1.3443,0.87394,0.85162,0.92583,0.55518,1.3318,0.67573,1.3459,1.3686,0.62684,1.3604,0.0013104,0.0013104,0.0013104
73,1.3805,0.71096,1.3207,1.4419,0.72132,1.333,0.87349,0.85342,0.92896,0.56649,1.3215,0.66401,1.3361,1.3621,0.61981,1.3502,0.0013006,0.0013006,0.0013006
74,1.3538,0.69937,1.3071,1.4151,0.71178,1.3284,0.87951,0.86646,0.93465,0.56776,1.3175,0.65352,1.3353,1.3586,0.60116,1.3661,0.0012907,0.0012907,0.0012907
75,1.3864,0.71138,1.326,1.4504,0.71699,1.354,0.86282,0.85701,0.9227,0.55856,1.3395,0.67576,1.3405,1.3656,0.61721,1.3711,0.0012809,0.0012809,0.0012809
76,1.3699,0.71179,1.3072,1.4345,0.71923,1.3379,0.88397,0.85612,0.93558,0.57039,1.2985,0.65487,1.3176,1.3414,0.59317,1.3541,0.001271,0.001271,0.001271
77,1.3612,0.70765,1.3082,1.4284,0.71399,1.3337,0.88008,0.84802,0.92948,0.56422,1.3151,0.67292,1.3458,1.3565,0.61652,1.3729,0.0012612,0.0012612,0.0012612
78,1.3556,0.69759,1.3092,1.4178,0.70492,1.335,0.86138,0.86511,0.92807,0.56697,1.3259,0.66777,1.3417,1.3696,0.61822,1.3764,0.0012513,0.0012513,0.0012513
79,1.3338,0.68691,1.2932,1.3966,0.68918,1.3192,0.87263,0.87179,0.93777,0.58269,1.3036,0.64048,1.3141,1.3352,0.58613,1.3466,0.0012415,0.0012415,0.0012415
80,1.3452,0.68881,1.2964,1.4048,0.69373,1.3187,0.86339,0.86956,0.93279,0.57213,1.2972,0.6612,1.3225,1.3316,0.60064,1.3385,0.0012316,0.0012316,0.0012316
81,1.3405,0.68436,1.2896,1.4072,0.68496,1.3126,0.8712,0.86378,0.93159,0.57256,1.309,0.64165,1.3204,1.3387,0.60315,1.3491,0.0012218,0.0012218,0.0012218
82,1.3625,0.70113,1.3028,1.4259,0.70877,1.3242,0.88122,0.86067,0.93387,0.57466,1.3106,0.64529,1.3244,1.3485,0.60704,1.346,0.0012119,0.0012119,0.0012119
83,1.3373,0.68943,1.2873,1.4042,0.68469,1.315,0.87735,0.8652,0.9358,0.5802,1.289,0.63451,1.3025,1.3196,0.57941,1.3315,0.0012021,0.0012021,0.0012021
84,1.3282,0.68376,1.2805,1.4014,0.6842,1.3125,0.87892,0.86331,0.93362,0.57811,1.2828,0.6352,1.3016,1.32,0.58953,1.3389,0.0011922,0.0011922,0.0011922
